1,city,latidute,longtitude,admin_name
303,Kobeliaky,49.1474,34.1993,Poltavs’ka Oblast’
304,Makariv,50.4667,29.8167,Kyyivs’ka Oblast’
305,Vesele,47.0160,34.9124,Zaporiz’ka Oblast’
306,Khodoriv,49.4100,24.3094,L’vivs’ka Oblast’
307,Sofiivka,48.2683,38.1847,Donets’ka Oblast’
308,Mizhhiria,48.5286,23.5019,Zakarpats’ka Oblast’
309,Bilozerka,46.6333,32.4333,Khersons’ka Oblast’
310,Velyka Dymerka,50.5928,30.9103,Kyyivs’ka Oblast’
311,Pohrebyshche,49.4869,29.2733,Vinnyts’ka Oblast’
312,Nyzhnohirskyi,45.4464,34.7344,"Krym, Avtonomna Respublika"
313,Bezliudivka,49.8694,36.2719,Kharkivs’ka Oblast’
314,Dubrovytsya,51.5667,26.5667,Rivnens’ka Oblast’
315,Tysmenytsia,48.9008,24.8492,Ivano-Frankivs’ka Oblast’
316,Irshava,48.3172,23.0375,Zakarpats’ka Oblast’
317,Khotyn,48.5078,26.4860,Chernivets’ka Oblast’
318,Velykyi Bychkiv,47.9714,24.0047,Zakarpats’ka Oblast’
319,Valky,49.8386,35.6217,Kharkivs’ka Oblast’
320,Kalanchak,46.2550,33.2906,Khersons’ka Oblast’
321,Obukhivka,48.5442,34.8664,Dnipropetrovs’ka Oblast’
322,Stryzhavka,49.3103,28.4808,Vinnyts’ka Oblast’
323,Bilenke,48.7664,37.6314,Donets’ka Oblast’
324,Horokhiv,50.4994,24.7650,Volyns’ka Oblast’
325,Hurzuf,44.5528,34.2875,"Krym, Avtonomna Respublika"
326,Horodenka,48.6675,25.5003,Ivano-Frankivs’ka Oblast’
327,Velyki Luchky,48.4200,22.5611,Zakarpats’ka Oblast’
328,Tiachiv,48.0114,23.5722,Zakarpats’ka Oblast’
329,Pomichna,48.2500,31.4167,Kirovohrads’ka Oblast’
330,Kozova,49.4318,25.1544,Ternopil’s’ka Oblast’
331,Uspenka,48.3939,39.1536,Luhans’ka Oblast’
332,Chyhyryn,49.0833,32.6667,Cherkas’ka Oblast’
333,Monastyryshche,48.9900,29.8011,Cherkas’ka Oblast’
334,Chop,48.4333,22.2000,Zakarpats’ka Oblast’
335,Tlumach,48.8669,25.0012,Ivano-Frankivs’ka Oblast’
336,Ilarionove,48.4059,35.2734,Dnipropetrovs’ka Oblast’
337,Kryzhopil,48.3842,28.8625,Vinnyts’ka Oblast’
338,Barvynkove,48.9067,37.0131,Kharkivs’ka Oblast’
339,Rava-Rus’ka,50.2500,23.6167,L’vivs’ka Oblast’
340,Solotvyno,47.9597,23.8669,Zakarpats’ka Oblast’
341,Busk,49.9667,24.6167,L’vivs’ka Oblast’
342,Andrushivka,50.0167,29.0167,Zhytomyrs’ka Oblast’
343,Yasinia,48.2728,24.3747,Zakarpats’ka Oblast’
344,Masandra,44.5167,34.1833,"Krym, Avtonomna Respublika"
345,Bushtyno,48.0503,23.4894,Zakarpats’ka Oblast’
346,Nerubaiske,46.5467,30.6306,Odes’ka Oblast’
347,Kosiv,48.3150,25.0953,Ivano-Frankivs’ka Oblast’
348,Lypovets,49.2161,29.0561,Vinnyts’ka Oblast’
349,Lanivtsi,49.8644,26.0782,Ternopil’s’ka Oblast’
350,Deliatyn,48.5286,24.6236,Ivano-Frankivs’ka Oblast’
351,Vyshkovo,48.0581,23.4164,Zakarpats’ka Oblast’
352,Ivanivka,48.2325,38.9525,Luhans’ka Oblast’
353,Mala Danylivka,50.0614,36.1675,Kharkivs’ka Oblast’
354,Bohorodchany,48.8000,24.5333,Ivano-Frankivs’ka Oblast’
355,Zavodske,50.4002,33.3908,Poltavs’ka Oblast’
356,Novi Sanzhary,49.3354,34.3162,Poltavs’ka Oblast’
357,Krasnopillya,50.7732,35.2717,Sums’ka Oblast’
358,Lysianka,49.2542,30.8207,Cherkas’ka Oblast’
359,Manhush,47.0500,37.3000,Donets’ka Oblast’
360,Tarutyne,46.1846,29.1495,Odes’ka Oblast’
361,Kvasyliv,50.5569,26.2675,Rivnens’ka Oblast’
362,Yaremche,48.4536,24.5564,Ivano-Frankivs’ka Oblast’
363,Ananiv,47.7225,29.9600,Odes’ka Oblast’
364,Semenivka,52.1772,32.5797,Chernihivs’ka Oblast’
365,Yasnohirka,48.7725,37.5506,Donets’ka Oblast’
366,Kushuhum,47.7106,35.2192,Zaporiz’ka Oblast’
367,Pidvolochysk,49.5311,26.1467,Ternopil’s’ka Oblast’
368,Kozelets,50.9164,31.1147,Chernihivs’ka Oblast’
369,Lanchyn,48.5475,24.7517,Ivano-Frankivs’ka Oblast’
370,Rohatyn,49.4167,24.6167,Ivano-Frankivs’ka Oblast’
371,Nemishayeve,50.5624,30.0925,Kyyivs’ka Oblast’
372,Kryve Ozero,47.9333,30.3333,Mykolayivs’ka Oblast’
373,Pivdenne,49.8849,36.0687,Kharkivs’ka Oblast’
374,Dykanka,49.8222,34.5341,Poltavs’ka Oblast’
375,Trostianets,48.5120,29.2137,Vinnyts’ka Oblast’
376,Velykyi Dalnyk,46.4658,30.5583,Odes’ka Oblast’
377,Khoroshiv,50.6000,28.4500,Zhytomyrs’ka Oblast’
378,Solone,48.2054,34.8686,Dnipropetrovs’ka Oblast’
379,Vapniarka,48.5333,28.7500,Vinnyts’ka Oblast’
380,Teresva,48.0000,23.6992,Zakarpats’ka Oblast’
381,Novoselytsia,48.2167,26.2667,Chernivets’ka Oblast’
382,Velykyy Bereznyy,48.8922,22.4586,Zakarpats’ka Oblast’
383,Romaniv,50.1517,27.9392,Zhytomyrs’ka Oblast’
384,Artemivsk,48.4403,38.7422,Luhans’ka Oblast’
385,Krasnokutsk,50.0567,35.1492,Kharkivs’ka Oblast’
386,Tsarychanka,48.9432,34.4748,Dnipropetrovs’ka Oblast’
387,Mezhova,48.2563,36.7313,Dnipropetrovs’ka Oblast’
388,Rzhyshchiv,49.9611,31.0436,Kyyivs’ka Oblast’
389,Borova,50.1733,30.1039,Kyyivs’ka Oblast’
390,Lymanske,46.6639,29.9708,Odes’ka Oblast’
391,Shyriaieve,47.3878,30.1911,Odes’ka Oblast’
392,Rudno,49.8404,23.8747,L’vivs’ka Oblast’
393,Poninka,50.1833,27.5333,Khmel’nyts’ka Oblast’
394,Isliam-Terek,45.2256,35.2033,"Krym, Avtonomna Respublika"
395,Molochansk,47.2038,35.5985,Zaporiz’ka Oblast’
396,Petropavlivka,48.4549,36.4394,Dnipropetrovs’ka Oblast’
397,Sharhorod,48.7500,28.0833,Vinnyts’ka Oblast’
398,Sosnytsia,51.5222,32.5017,Chernihivs’ka Oblast’
399,Vorozhba,51.1749,34.2299,Sums’ka Oblast’
400,Pryvillya,48.9999,38.2948,Luhans’ka Oblast’
401,Shevchenkove,49.6939,37.1794,Kharkivs’ka Oblast’
402,Tomakivka,47.8163,34.7471,Dnipropetrovs’ka Oblast’
403,Piskivka,50.7078,29.5950,Kyyivs’ka Oblast’
404,Kupiansk,49.7064,37.6167,Kharkivs’ka Oblast’
405,Vilshany,50.0533,35.8847,Kharkivs’ka Oblast’
406,Dobroslav,46.8200,30.9450,Odes’ka Oblast’
407,Chynadiyovo,48.4833,22.8333,Zakarpats’ka Oblast’
408,Nova Maiachka,46.6033,33.2283,Khersons’ka Oblast’
409,Bilmak,47.3589,36.6500,Zaporiz’ka Oblast’
410,Dovhe,48.3675,23.2869,Zakarpats’ka Oblast’
411,Velyki Komiaty,48.2386,22.9789,Zakarpats’ka Oblast’
